level,storage,inflow,rainfall,outflow,next_storage,label
115.0,3.9,0.0,0.0,0.0,3.9,1
115.0,3.9,0.0,0.0,0.0,3.9,1
115.0,3.9,0.0,0.0,0.0,3.9,1
115.0,3.9,0.0,0.0,0.0,3.8,1
114.97,3.8,0.0,0.0,0.0,3.8,1
114.97,3.8,0.0,0.0,0.0,3.8,1
114.97,3.8,0.0,0.0,0.0,3.7,1
114.94,3.7,0.0,0.0,0.0,3.7,1
114.94,3.7,0.0,0.0,0.0,3.7,1
114.94,3.7,0.0,0.0,0.0,3.6,1
114.9,3.6,0.0,0.0,0.0,3.6,1
114.9,3.6,0.0,0.0,0.0,3.6,1
114.9,3.6,0.0,0.0,0.0,3.5,1
114.87,3.5,0.0,0.0,0.0,3.5,1
114.87,3.5,0.0,0.0,0.0,3.4,1
114.83,3.4,0.0,0.0,0.0,3.4,1
114.83,3.4,0.0,0.0,0.0,3.4,1
114.83,3.4,0.0,0.0,0.0,3.4,1
114.83,3.4,0.0,0.0,0.0,3.4,1
114.83,3.4,0.0,0.0,0.0,3.3,1
114.79,3.3,0.0,0.0,0.0,3.3,1
114.79,3.3,0.0,0.0,0.0,3.3,1
114.79,3.3,0.0,0.0,0.0,3.3,1
114.79,3.3,0.0,0.0,0.0,3.2,1
114.75,3.2,0.0,0.0,0.0,3.2,1
114.75,3.2,0.0,0.0,0.0,3.9,1
115.0,3.9,8.0,31.0,0.0,4.9,1
115.35,4.9,11.0,33.0,0.0,4.9,1
115.35,4.9,0.0,0.0,0.0,4.9,1
115.35,4.9,0.0,0.0,0.0,4.8,1
115.3,4.8,0.0,0.0,0.0,4.8,1
115.3,4.8,0.0,0.0,0.0,4.8,1
115.3,4.8,0.0,0.0,0.0,4.7,1
115.27,4.7,0.0,0.0,0.0,4.7,1
115.27,4.7,0.0,0.0,0.0,4.7,1
115.27,4.7,0.0,0.0,0.0,4.6,1
115.23,4.6,0.0,0.0,0.0,4.6,1
115.23,4.6,0.0,0.0,0.0,4.6,1
115.23,4.6,0.0,0.0,0.0,4.5,1
115.2,4.5,0.0,0.0,0.0,4.5,1
115.2,4.5,0.0,0.0,0.0,4.5,1
115.2,4.5,0.0,0.0,0.0,4.4,1
115.17,4.4,0.0,0.0,0.0,4.4,1
115.17,4.4,0.0,0.0,0.0,4.4,1
115.17,4.4,0.0,0.0,0.0,4.3,1
115.14,4.3,0.0,0.0,0.0,4.3,1
115.14,4.3,0.0,0.0,0.0,4.2,1
115.1,4.2,0.0,0.0,0.0,4.3,1
115.14,4.3,10.0,0.0,0.0,4.5,1
115.2,4.5,5.0,0.0,0.0,4.8,1
115.3,4.8,4.0,0.0,0.0,4.8,1
115.3,4.8,0.0,0.0,0.0,4.8,1
115.3,4.8,0.0,0.0,0.0,4.7,1
115.27,4.7,0.0,0.0,0.0,4.7,1
115.27,4.7,0.0,0.0,0.0,4.7,1
115.27,4.7,0.0,0.0,0.0,4.6,1
115.23,4.6,0.0,0.0,0.0,4.6,1
115.23,4.6,0.0,0.0,0.0,4.5,1
115.2,4.5,0.0,0.0,0.0,4.5,1
115.2,4.5,0.0,0.0,0.0,4.4,1
115.17,4.4,0.0,0.0,0.0,4.4,1
115.17,4.4,0.0,0.0,0.0,4.3,1
115.14,4.3,0.0,0.0,0.0,4.3,1
115.14,4.3,0.0,0.0,0.0,4.2,1
115.1,4.2,0.0,0.0,0.0,4.2,1
115.1,4.2,0.0,0.0,0.0,4.2,1
115.07,4.2,0.0,0.0,0.0,4.1,1
115.07,4.1,0.0,0.0,0.0,6.96,1
115.92,6.96,57.0,0.0,30.0,10.9,1
116.84,10.9,105.0,0.0,55.0,14.4,1
117.52,14.4,102.0,0.0,63.0,15.4,1
117.71,15.4,97.0,0.0,90.0,16.2,1
117.86,16.2,101.0,0.0,90.0,18.4,1
118.22,18.4,116.0,0.0,90.0,21.0,1
118.6,21.0,132.0,0.0,90.0,23.4,1
118.89,23.4,128.0,0.0,90.0,25.2,1
119.09,25.2,119.0,0.0,90.0,25.7,1
119.15,25.7,102.0,0.0,90.0,24.0,1
118.96,24.0,76.0,0.0,90.0,20.6,1
118.54,20.6,57.0,0.0,90.0,17.1,1
118.01,17.1,52.0,0.0,90.0,12.7,1
117.21,12.7,40.0,0.0,90.0,10.0,1
116.65,10.0,42.0,0.0,73.0,9.2,1
116.47,9.2,52.0,0.0,61.0,9.5,1
116.53,9.5,65.0,0.0,63.0,9.6,1
116.55,9.6,65.0,0.0,63.0,9.6,1
116.55,9.6,63.0,0.0,63.0,9.1,1
116.45,9.1,59.0,0.0,63.0,8.5,1
116.31,8.5,45.0,0.0,52.0,7.9,1
116.16,7.9,41.0,0.0,47.0,7.9,1
116.16,7.9,40.0,0.0,40.0,7.9,1
116.16,7.9,40.0,0.0,40.0,8.1,1
116.2,8.1,45.0,0.0,42.0,8.3,1
116.27,8.3,46.0,0.0,43.0,7.5,1
116.07,7.5,29.0,0.0,37.0,6.5,1
115.81,6.5,10.0,0.0,21.0,5.6,1
115.56,5.6,6.0,0.0,15.0,5.4,1
115.5,5.4,8.0,20.0,14.0,5.8,1
115.61,5.8,20.0,0.0,15.0,6.8,1
115.89,6.8,38.0,0.0,25.0,7.7,1
116.1,7.7,44.0,0.0,33.0,7.9,1
116.15,7.9,36.0,0.0,33.0,7.1,1
115.95,7.1,21.0,0.0,29.0,6.2,1
115.7,6.2,10.0,0.0,19.0,5.8,1
115.59,5.8,11.0,0.0,16.0,5.7,1
115.58,5.7,11.0,0.0,11.0,5.4,1
115.5,5.4,3.0,0.0,5.0,5.0,1
115.38,5.0,0.0,0.0,3.0,4.8,1
115.3,4.8,0.0,0.0,3.0,4.7,1
115.27,4.7,0.0,1.0,0.0,4.6,1
115.24,4.6,0.0,0.0,0.0,4.5,1
115.2,4.5,0.0,0.0,0.0,4.4,1
115.17,4.4,0.0,0.0,0.0,4.3,1
115.14,4.3,0.0,0.0,0.0,4.2,1
115.1,4.2,0.0,0.0,0.0,4.1,1
115.07,4.1,0.0,0.0,0.0,4.0,1
115.04,4.0,0.0,0.0,0.0,3.9,1
115.0,3.9,0.0,0.0,0.0,3.8,1
114.97,3.8,0.0,0.0,0.0,3.7,1
114.93,3.7,0.0,0.0,0.0,3.6,1
114.9,3.6,0.0,0.0,0.0,3.5,1
114.86,3.5,0.0,0.0,0.0,3.4,1
114.83,3.4,0.0,0.0,0.0,3.4,1
114.83,3.4,0.0,21.0,0.0,5.2,1
115.43,5.2,21.0,91.0,0.0,6.9,1
115.91,6.9,20.0,30.0,0.0,8.7,1
116.35,8.7,21.0,15.0,0.0,8.1,1
116.2,8.1,15.0,9.0,45.0,6.5,1
115.8,6.5,15.0,0.0,33.0,5.4,1
115.5,5.4,8.0,4.0,20.0,4.5,1
115.21,4.5,6.0,0.0,15.0,4.3,1
115.14,4.3,0.0,0.0,5.0,4.3,1
115.14,4.3,0.0,0.0,0.0,4.2,1
115.1,4.2,0.0,0.0,0.0,4.1,1
115.07,4.1,0.0,0.0,0.0,4.0,1
115.04,4.0,0.0,0.0,0.0,3.9,1
115.0,3.9,0.0,0.0,0.0,6.3,1
115.75,6.3,28.0,45.0,0.0,7.3,1
116.0,7.3,12.0,0.0,0.0,7.7,1
116.1,7.7,5.0,0.0,0.0,7.7,1
116.1,7.7,5.0,0.0,0.0,7.7,1
