storage,inflow,discharge,label
1344.0,100.0,627.0,0
1295.0,100.0,627.0,0
1246.0,250.0,577.0,0
1173.0,0.0,841.0,0
1149.0,300.0,422.0,0
1149.0,100.0,76.0,0
1124.0,0.0,77.0,0
1100.0,0.0,76.0,0
1100.0,100.0,77.0,0
1100.0,100.0,76.0,0
1124.0,850.0,662.0,4
1149.0,850.0,664.0,4
1149.0,750.0,738.0,4
1149.0,400.0,399.0,0
1149.0,400.0,399.0,0
1124.0,400.0,591.0,0
1124.0,400.0,392.0,0
1124.0,200.0,196.0,0
1124.0,200.0,196.0,0
1124.0,200.0,196.0,0
1149.0,300.0,110.0,0
1173.0,300.0,110.0,0
1222.0,600.0,220.0,0
1295.0,650.0,77.0,0
1368.0,675.0,76.0,0
1368.0,275.0,267.0,0
1415.0,450.0,77.0,0
1465.0,450.0,77.0,0
1465.0,150.0,126.0,0
1465.0,150.0,130.0,0
1465.0,125.0,125.0,0
1465.0,125.0,117.0,0
1465.0,125.0,115.0,0
1465.0,125.0,113.0,0
1465.0,100.0,100.0,0
1465.0,100.0,100.0,0
1465.0,100.0,90.0,0
1465.0,100.0,92.0,0
1465.0,100.0,89.0,0
1465.0,100.0,91.0,0
1465.0,100.0,90.0,0
1465.0,100.0,90.0,0
1465.0,100.0,90.0,0
1465.0,100.0,90.0,0
1465.0,100.0,90.0,0
1465.0,100.0,90.0,0
1465.0,100.0,90.0,0
1465.0,100.0,86.0,0
1465.0,100.0,87.0,0
1465.0,100.0,87.0,0
1465.0,100.0,79.0,0
1465.0,100.0,87.0,0
1453.0,0.0,91.0,0
1441.0,0.0,85.0,0
1429.0,0.0,85.0,0
1416.0,0.0,86.0,0
1404.0,0.0,85.0,0
1392.0,0.0,86.0,0
1380.0,0.0,85.0,0
1368.0,0.0,85.0,0
1356.0,0.0,85.0,0
1344.0,0.0,85.0,0
1331.0,0.0,86.0,0
1319.0,0.0,85.0,0
1307.0,0.0,85.0,0
1295.0,0.0,72.0,0
1283.0,0.0,86.0,0
1271.0,0.0,86.0,0
1258.0,0.0,86.0,0
1246.0,0.0,87.0,0
1234.0,0.0,86.0,0
1295.0,700.0,77.0,0
1441.0,600.0,761.0,0
1465.0,100.0,74.0,0
1465.0,100.0,77.0,0
1465.0,100.0,77.0,0
1465.0,100.0,77.0,0
1465.0,100.0,77.0,0
1441.0,0.0,97.0,0
1429.0,0.0,77.0,0
1416.0,0.0,77.0,0
1416.0,100.0,77.0,0
1404.0,0.0,77.0,0
1392.0,30.0,77.0,0
1368.0,0.0,77.0,0
1356.0,0.0,77.0,0
1344.0,0.0,77.0,0
1319.0,0.0,95.0,0
1307.0,0.0,74.0,0
1295.0,0.0,76.0,0
1283.0,0.0,76.0,0
1271.0,0.0,76.0,0
1271.0,100.0,75.0,0
1271.0,100.0,76.0,0
1271.0,100.0,76.0,0
1271.0,100.0,75.0,0
1271.0,100.0,77.0,0
1271.0,100.0,76.0,0
1271.0,100.0,76.0,0
1271.0,100.0,76.0,0
1271.0,100.0,76.0,0
1271.0,100.0,74.0,0
1258.0,0.0,75.0,0
1246.0,0.0,76.0,0
1234.0,0.0,75.0,0
1210.0,0.0,96.0,0
1197.0,0.0,76.0,0
1185.0,0.0,73.0,0
1173.0,0.0,76.0,0
1149.0,0.0,75.0,0
1124.0,0.0,75.0,0
1100.0,0.0,76.0,0
1076.0,0.0,75.0,0
1051.0,0.0,75.0,0
1027.0,0.0,76.0,0
1003.0,0.0,76.0,0
978.0,0.0,75.0,0
967.0,0.0,71.0,0
957.0,0.0,74.0,0
946.0,0.0,77.0,0
935.0,0.0,75.0,0
924.0,0.0,75.0,0
914.0,0.0,76.0,0
892.0,0.0,75.0,0
871.0,0.0,76.0,0
849.0,0.0,77.0,0
828.0,0.0,76.0,0
806.0,0.0,67.0,0
785.0,0.0,75.0,0
763.0,0.0,77.0,0
742.0,0.0,76.0,2
720.0,0.0,76.0,2
704.0,0.0,76.0,2
687.0,0.0,76.0,2
671.0,0.0,76.0,2
687.0,0.0,75.0,2
671.0,0.0,77.0,2
655.0,0.0,76.0,2
638.0,0.0,77.0,2
623.0,0.0,76.0,2
605.0,0.0,74.0,2
589.0,0.0,67.0,2
573.0,0.0,75.0,2
556.0,0.0,75.0,2
540.0,0.0,77.0,2
532.0,0.0,77.0,2
523.0,0.0,77.0,2
507.0,0.0,77.0,2
491.0,0.0,76.0,2
474.0,0.0,76.0,2
458.0,0.0,75.0,2
441.0,0.0,75.0,2
425.0,0.0,73.0,2
409.0,0.0,76.0,2
400.0,0.0,73.0,2
392.0,0.0,72.0,2
384.0,0.0,72.0,2
376.0,0.0,73.0,2
368.0,0.0,73.0,2
359.0,0.0,73.0,2
343.0,0.0,73.0,2
335.0,0.0,70.0,2
327.0,0.0,67.0,2
310.0,0.0,66.0,2
294.0,0.0,71.0,2
277.0,0.0,64.0,2
261.0,0.0,62.0,2
245.0,0.0,63.0,2
220.0,0.0,59.0,2
195.0,0.0,60.0,2
187.0,0.0,59.0,2
179.0,0.0,58.0,2
175.0,0.0,62.0,2
187.0,200.0,62.0,2
204.0,200.0,63.0,2
220.0,200.0,66.0,2
236.0,200.0,67.0,2
261.0,350.0,68.0,2
277.0,200.0,65.0,2
294.0,200.0,66.0,2
286.0,0.0,65.0,2
310.0,350.0,66.0,2
318.0,200.0,64.0,2
327.0,150.0,51.0,2
335.0,175.0,74.0,2
343.0,175.0,75.0,2
351.0,175.0,72.0,2
376.0,375.0,75.0,2
368.0,0.0,74.0,2
376.0,175.0,76.0,2
392.0,275.0,75.0,2
392.0,100.0,76.0,2
392.0,100.0,74.0,2
400.0,175.0,76.0,2
400.0,100.0,75.0,2
400.0,100.0,74.0,2
400.0,100.0,74.0,2
400.0,100.0,75.0,2
400.0,100.0,74.0,2
409.0,200.0,70.0,2
425.0,275.0,73.0,2
441.0,275.0,74.0,2
458.0,275.0,75.0,2
482.0,375.0,73.0,2
507.0,375.0,72.0,2
556.0,650.0,74.0,2
605.0,650.0,75.0,2
623.0,275.0,75.0,2
638.0,275.0,76.0,2
655.0,275.0,76.0,2
663.0,100.0,75.0,2
671.0,100.0,75.0,2
679.0,100.0,76.0,2
679.0,100.0,75.0,2
679.0,100.0,77.0,2
679.0,100.0,76.0,2
679.0,100.0,76.0,2
679.0,100.0,75.0,2
679.0,100.0,48.0,2
679.0,100.0,74.0,2
679.0,100.0,76.0,2
679.0,100.0,77.0,2
679.0,100.0,77.0,2
679.0,100.0,76.0,2
679.0,100.0,76.0,2
679.0,100.0,76.0,2
679.0,100.0,76.0,2
679.0,100.0,77.0,2
679.0,100.0,77.0,2
671.0,0.0,77.0,2
671.0,100.0,77.0,2
671.0,100.0,77.0,2
687.0,300.0,66.0,2
704.0,300.0,77.0,2
785.0,500.0,74.0,0
849.0,650.0,77.0,0
914.0,650.0,76.0,0
978.0,650.0,75.0,0
1051.0,650.0,75.0,0
1100.0,450.0,73.0,0
1149.0,650.0,223.0,0
1173.0,400.0,204.0,0
1197.0,400.0,204.0,0
1222.0,400.0,205.0,0
1222.0,350.0,326.0,0
1173.0,400.0,786.0,0
1124.0,400.0,773.0,0
1076.0,350.0,734.0,0
1003.0,350.0,941.0,0
957.0,350.0,903.0,0
914.0,300.0,769.0,0
892.0,350.0,597.0,0
871.0,350.0,604.0,0
871.0,700.0,699.0,4
849.0,350.0,768.0,0
828.0,600.0,848.0,4
785.0,500.0,982.0,4
720.0,200.0,938.0,0
671.0,200.0,837.0,0
638.0,250.0,642.0,2
605.0,250.0,630.0,2
556.0,150.0,721.0,2
507.0,150.0,722.0,2
458.0,150.0,721.0,2
409.0,400.0,938.0,2
392.0,500.0,709.0,2
376.0,400.0,595.0,2
376.0,400.0,410.0,2
343.0,400.0,778.0,2
343.0,450.0,449.0,2
343.0,450.0,450.0,2
327.0,500.0,696.0,2
310.0,450.0,640.0,2
310.0,450.0,425.0,2
327.0,500.0,310.0,2
343.0,600.0,403.0,2
359.0,600.0,412.0,2
376.0,600.0,418.0,2
376.0,700.0,702.0,4
376.0,700.0,701.0,4
359.0,600.0,789.0,4
359.0,700.0,701.0,4
359.0,700.0,701.0,4
327.0,500.0,883.0,2
310.0,500.0,687.0,2
310.0,450.0,700.0,2
327.0,400.0,243.0,2
425.0,1300.0,245.0,4
573.0,1900.0,72.0,4
687.0,1500.0,73.0,4
763.0,950.0,75.0,4
763.0,550.0,550.0,0
763.0,425.0,401.0,0
763.0,425.0,403.0,0
763.0,375.0,352.0,0
763.0,375.0,352.0,0
763.0,375.0,344.0,0
763.0,375.0,352.0,0
763.0,375.0,354.0,0
763.0,400.0,403.0,0
763.0,400.0,404.0,0
