date,level,storage,inflow,outflow,rainfall
01/01/2004,115.0,3.9,0.0,0.0,0.0
02/01/2004,115.0,3.9,0.0,0.0,0.0
03/01/2004,115.0,3.9,0.0,0.0,0.0
04/01/2004,115.0,3.9,0.0,0.0,0.0
05/01/2004,114.97,3.8,0.0,0.0,0.0
06/01/2004,114.97,3.8,0.0,0.0,0.0
07/01/2004,114.97,3.8,0.0,0.0,0.0
08/01/2004,114.94,3.7,0.0,0.0,0.0
09/01/2004,114.94,3.7,0.0,0.0,0.0
10/01/2004,114.94,3.7,0.0,0.0,0.0
11/01/2004,114.9,3.6,0.0,0.0,0.0
12/01/2004,114.9,3.6,0.0,0.0,0.0
13/01/2004,114.9,3.6,0.0,0.0,0.0
14/01/2004,114.87,3.5,0.0,0.0,0.0
15/01/2004,114.87,3.5,0.0,0.0,0.0
16/01/2004,114.83,3.4,0.0,0.0,0.0
17/01/2004,114.83,3.4,0.0,0.0,0.0
18/01/2004,114.83,3.4,0.0,0.0,0.0
19/01/2004,114.83,3.4,0.0,0.0,0.0
20/01/2004,114.83,3.4,0.0,0.0,0.0
21/01/2004,114.79,3.3,0.0,0.0,0.0
22/01/2004,114.79,3.3,0.0,0.0,0.0
23/01/2004,114.79,3.3,0.0,0.0,0.0
24/01/2004,114.79,3.3,0.0,0.0,0.0
25/01/2004,114.75,3.2,0.0,0.0,0.0
26/01/2004,114.75,3.2,0.0,0.0,0.0
27/01/2004,115.0,3.9,8.0,0.0,31.0
28/01/2004,115.35,4.9,11.0,0.0,33.0
29/01/2004,115.35,4.9,0.0,0.0,0.0
30/01/2004,115.35,4.9,0.0,0.0,0.0
31/01/2004,115.3,4.8,0.0,0.0,0.0
01/02/2004,115.3,4.8,0.0,0.0,0.0
02/02/2004,115.3,4.8,0.0,0.0,0.0
03/02/2004,115.27,4.7,0.0,0.0,0.0
04/02/2004,115.27,4.7,0.0,0.0,0.0
05/02/2004,115.27,4.7,0.0,0.0,0.0
06/02/2004,115.23,4.6,0.0,0.0,0.0
07/02/2004,115.23,4.6,0.0,0.0,0.0
08/02/2004,115.23,4.6,0.0,0.0,0.0
09/02/2004,115.2,4.5,0.0,0.0,0.0
10/02/2004,115.2,4.5,0.0,0.0,0.0
